lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,313.0,373
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,313.0,273
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,1,ct,0.0,0.0,0,1,1,134.0,58
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,2,ct+seg,0.2,1.0,1,4,0,134.0,1398
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,134.0,86
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,134.0,111
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,134.0,82
ULSDL3D_000148_06_01_034_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,134.0,108
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,1,ct,0.0,0.0,0,5,1,169.0,945
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,169.0,233
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,169.0,220
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,169.0,192
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,169.0,179
ULSDL3D_000156_02_01_037_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,169.0,123
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,1,ct,0.0,0.0,0,2,1,617.0,75
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,617.0,376
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,617.0,472
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,617.0,549
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,617.0,549
ULSDL3D_000167_02_01_030_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,617.0,575
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,1,ct,0.0,0.0,0,8,1,2771.0,2683
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,2771.0,378
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,2771.0,2720
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,2771.0,2678
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,2771.0,2673
ULSDL3D_000205_01_02_173_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,2771.0,2467
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,1,ct,0.333,1.0,1,2,0,1524.0,2447
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,1524.0,3449
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,1,1524.0,0
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,1524.0,1916
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,6,ct+seg+mask,0.333,1.0,1,2,0,1524.0,1719
ULSDL3D_000224_04_02_143_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,1524.0,1364
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,1,ct,0.0,0.0,0,7,1,373.0,486
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,373.0,853
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,373.0,355
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,373.0,416
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,373.0,385
ULSDL3D_000228_03_02_067_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,373.0,351
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,1,ct,0.0,0.0,0,1,1,98.0,31
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,98.0,51
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,98.0,74
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,98.0,88
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,98.0,61
ULSDL3D_000237_02_01_056_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,98.0,84
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,1,ct,0.333,1.0,1,2,0,1179.0,4778
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,1179.0,2596
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,1179.0,1518
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,1179.0,556
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,1179.0,1708
ULSDL3D_000251_12_02_491_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,1179.0,555
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,1,ct,0.333,1.0,1,2,0,558.0,627
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,558.0,835
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,558.0,325
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,558.0,399
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,558.0,380
ULSDL3D_000260_11_01_109_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,558.0,490
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,1,ct,0.0,0.0,0,3,1,2108.0,346
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,2,ct+seg,0.25,1.0,1,3,0,2108.0,3341
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,2108.0,1177
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,2108.0,1696
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,2108.0,1149
ULSDL3D_000294_01_01_118_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,2108.0,1730
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,357.0,408
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,357.0,226
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,357.0,236
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,357.0,428
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,357.0,288
ULSDL3D_000306_04_01_023_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,357.0,348
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,1,ct,0.5,1.0,1,1,0,267.0,304
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,267.0,261
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,267.0,267
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,267.0,297
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,267.0,238
ULSDL3D_000306_06_01_027_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,267.0,254
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,699.0,2218
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,699.0,673
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,1,699.0,0
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,699.0,490
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,6,ct+seg+mask,0.111,1.0,1,8,0,699.0,1835
ULSDL3D_000306_07_01_181_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,699.0,468
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,1,ct,0.0,0.0,0,2,1,236.0,158
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,2,ct+seg,0.143,1.0,1,6,0,236.0,533
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,236.0,252
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,236.0,199
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,236.0,263
ULSDL3D_000312_02_01_033_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,236.0,204
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,1,ct,0.167,1.0,1,5,0,199.0,874
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,2,1,199.0,302
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,1,199.0,0
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,199.0,70
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,6,ct+seg+mask,0.0,0.0,0,2,1,199.0,149
ULSDL3D_000332_06_02_264_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,199.0,83
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,283.0,230
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,2,ct+seg,0.25,1.0,1,3,0,283.0,330
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,283.0,170
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,283.0,199
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,283.0,162
ULSDL3D_000336_01_01_006_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,283.0,174
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,1,ct,0.0,0.0,0,1,1,205.0,325
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,2,ct+seg,0.2,1.0,1,4,0,205.0,479
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,205.0,125
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,205.0,214
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,205.0,100
ULSDL3D_000358_03_01_073_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,205.0,162
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,1,ct,0.0,0.0,0,3,1,276.0,176
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,2,ct+seg,0.2,1.0,1,4,0,276.0,506
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,276.0,300
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,276.0,281
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,276.0,257
ULSDL3D_000360_01_01_028_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,276.0,236
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,1,ct,0.0,0.0,0,12,1,846.0,2753
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,846.0,705
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,846.0,587
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,846.0,686
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,846.0,699
ULSDL3D_000372_05_01_301_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,846.0,577
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,138.0,783
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,138.0,3
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,138.0,100
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,138.0,97
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,138.0,106
ULSDL3D_000388_08_03_179_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,138.0,74
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,1,ct,0.0,0.0,0,1,1,2527.0,99
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,2,ct+seg,0.125,1.0,1,7,0,2527.0,1995
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,2527.0,712
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,2527.0,2236
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,2527.0,737
ULSDL3D_000426_02_01_093_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,2527.0,2354
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,1,ct,0.2,1.0,1,4,0,912.0,1824
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,912.0,758
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,912.0,553
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,912.0,562
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,912.0,649
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,912.0,638
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,1,ct,0.0,0.0,0,8,1,1853.0,711
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,1853.0,325
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,1853.0,2443
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,1853.0,1563
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,1853.0,2993
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,1853.0,1653
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,1,ct,0.167,1.0,1,5,0,619.0,1074
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,4,1,619.0,1891
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,619.0,581
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,619.0,669
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,619.0,483
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,619.0,467
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,270.0,703
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,2,ct+seg,0.167,1.0,1,5,0,270.0,501
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,270.0,282
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,270.0,308
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,270.0,258
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,270.0,266
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,1,ct,0.2,1.0,1,4,0,143.0,320
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,143.0,91
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,143.0,50
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,143.0,170
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,143.0,55
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,143.0,122
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,1,ct,0.0,0.0,0,11,1,209.0,1420
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,2,ct+seg,0.056,1.0,1,17,0,209.0,7113
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,209.0,254
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,209.0,251
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,209.0,254
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,209.0,200
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,1,ct,0.2,1.0,1,4,0,131.0,260
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,131.0,149
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,131.0,167
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,131.0,147
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,131.0,143
ULSDL3D_000492_01_01_082_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,131.0,116
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,1,ct,0.167,1.0,1,5,0,177.0,1287
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,2,1,177.0,295
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,177.0,163
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,177.0,161
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,177.0,222
ULSDL3D_000502_02_01_054_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,177.0,167
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,1,ct,0.2,1.0,1,4,0,498.0,1725
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,2,ct+seg,0.333,1.0,1,2,0,498.0,2272
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,498.0,395
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,498.0,484
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,498.0,413
ULSDL3D_000526_03_01_053_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,498.0,510
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,1,ct,0.333,1.0,1,2,0,305.0,538
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,305.0,620
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,305.0,214
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,305.0,295
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,305.0,220
ULSDL3D_000543_06_01_010_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,305.0,276
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,1,ct,0.0,0.0,0,5,1,12358.0,1635
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,2,ct+seg,0.071,1.0,1,13,0,12358.0,2666
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,12358.0,16167
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,12358.0,12862
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,12358.0,16669
ULSDL3D_000578_02_01_059_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,12358.0,13310
ULSDL3D_000591_03_01_197_lesion_01.nii.gz,1,ct,0.2,1.0,1,4,0,307.0,1208
ULSDL3D_000591_03_01_197_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,307.0,425
